,Gold Sentiment,Text,Predicted Sentiment
0,neg,"every potential twist is telegraphed well in advance , every performance respectably muted ; the movie itself seems to have been made under the influence of rohypnol .",neg
1,pos,a woman's pic directed with resonance by ilya chaiken .,pos
2,neg,"ringu is a disaster of a story , full of holes and completely lacking in chills . ignore the reputation , and ignore the film .",neg
3,neg,"does paint some memorable images . . . , but makhmalbaf keeps her distance from the character",pos
4,neg,all this turns out to be neither funny nor provocative - only dull .,neg
5,neg,the film virtually chokes on its own self-consciousness .,neg
6,pos,what makes the movie a comedy is the way it avoids the more serious emotions involved .,pos
7,neg,"this isn't a "" friday "" worth waiting for .",neg
8,neg,van wilder brings a whole new meaning to the phrase 'comedy gag . ' at least one scene is so disgusting that viewers may be hard pressed to retain their lunch .,neg
9,pos,"qutting may be a flawed film , but it is nothing if not sincere .",pos
10,neg,an unclassifiably awful study in self- and audience-abuse .,neg
11,pos,"the story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions .",pos
12,neg,"though harris is affecting at times , he cannot overcome the sense that pumpkin is a mere plot pawn for two directors with far less endearing disabilities .",neg
13,neg,"some of it is clever , but it is never melodic",neg
14,neg,"parker probably thinks he's shaking up a classic the way kenneth branagh and baz luhrmann have , but this half-hearted messing-about just makes us miss wilde's still-contemporary play .",neg
15,neg,"no such thing is sort of a minimalist beauty and the beast , but in this case the beast should definitely get top billing . robert john burke as the monster horns in and steals the show .",neg
16,pos,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",pos
17,pos,there's no reason to miss interview with the assassi,neg
18,neg,"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers' puppet strings .",neg
19,pos,don't expect any surprises in this checklist of teamwork cliches . . .,pos
20,neg,it's one long bore .,neg
21,neg,what the four feathers lacks is genuine sweep or feeling or even a character worth caring about .,neg
22,pos,manages to be sweet and wickedly satisfying at the same time .,pos
23,pos,"when your leading ladies are a couple of screen-eating dominatrixes like goldie hawn and susan sarandon at their raunchy best , even hokum goes down easily .",pos
24,pos,"blade ii merges bits and pieces from fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci-fi and anime into one big bloody stew .",pos
25,neg,"tom shadyac has learned a bit more craft since directing adams , but he still lingers over every point until the slowest viewer grasps it .",neg
26,pos,"it's usually a bad sign when directors abandon their scripts and go where the moment takes them , but olympia , wash . , based filmmakers anne de marcken and marilyn freeman did just that and it's what makes their project so interesting .",pos
27,neg,"crudup's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families .",neg
28,neg,"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",neg
29,pos,"es divertida , visualmente espectacular y muy entretenida . simple y sencillamente te sorprenderá .",pos
